"Date","lon","lat","LT50","Cultivar","Data_source"
2005-09-28,-119.74,46.25,-10.27675,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-09-28,-119.74,46.25,-10.27675,"Merlot","NYUS.2.2 open training dataset"
2005-09-28,-119.74,46.25,-11.94325,"Riesling","NYUS.2.2 open training dataset"
2005-09-28,-119.74,46.25,-9.16575,"Syrah","NYUS.2.2 open training dataset"
2005-09-29,-119.74,46.25,-13.332,"Chardonnay","NYUS.2.2 open training dataset"
2005-10-07,-119.74,46.25,-10.5545,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-10-07,-119.74,46.25,-11.6655,"Riesling","NYUS.2.2 open training dataset"
2005-10-12,-119.74,46.25,-10.5545,"Chardonnay","NYUS.2.2 open training dataset"
2005-10-12,-119.74,46.25,-9.999,"Merlot","NYUS.2.2 open training dataset"
2005-10-12,-119.74,46.25,-10.5545,"Syrah","NYUS.2.2 open training dataset"
2005-10-13,-119.74,46.25,-11,"Gewurztraminer","NYUS.2.2 open training dataset"
2005-10-13,-119.74,46.25,-11.11,"Pinot gris","NYUS.2.2 open training dataset"
2005-10-13,-119.74,46.25,-10.5545,"Sangiovese","NYUS.2.2 open training dataset"
2005-10-14,-119.74,46.25,-9.999,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-10-14,-119.74,46.25,-11.6655,"Riesling","NYUS.2.2 open training dataset"
2005-10-19,-119.74,46.25,-12.221,"Chardonnay","NYUS.2.2 open training dataset"
2005-10-19,-119.74,46.25,-10.27675,"Merlot","NYUS.2.2 open training dataset"
2005-10-19,-119.74,46.25,-11.11,"Syrah","NYUS.2.2 open training dataset"
2005-10-21,-119.74,46.25,-11.38775,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-10-21,-119.74,46.25,-11.6655,"Riesling","NYUS.2.2 open training dataset"
2005-10-27,-119.74,46.25,-11.11,"Cabernet Franc","NYUS.2.2 open training dataset"
2005-10-28,-119.74,46.25,-11.94325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-10-28,-119.74,46.25,-14.72075,"Riesling","NYUS.2.2 open training dataset"
2005-11-02,-119.74,46.25,-13.60975,"Chardonnay","NYUS.2.2 open training dataset"
2005-11-02,-119.74,46.25,-11.94325,"Merlot","NYUS.2.2 open training dataset"
2005-11-02,-119.74,46.25,-11.38775,"Syrah","NYUS.2.2 open training dataset"
2005-11-03,-119.74,46.25,-14.025,"Gewurztraminer","NYUS.2.2 open training dataset"
2005-11-03,-119.74,46.25,-14.443,"Pinot gris","NYUS.2.2 open training dataset"
2005-11-03,-119.74,46.25,-12.7765,"Sangiovese","NYUS.2.2 open training dataset"
2005-11-04,-119.74,46.25,-13.05425,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-11-04,-119.74,46.25,-15.554,"Riesling","NYUS.2.2 open training dataset"
2005-11-09,-119.74,46.25,-18.887,"Chardonnay","NYUS.2.2 open training dataset"
2005-11-09,-119.74,46.25,-17.776,"Merlot","NYUS.2.2 open training dataset"
2005-11-09,-119.74,46.25,-16.1095,"Syrah","NYUS.2.2 open training dataset"
2005-11-10,-119.74,46.25,-16.94275,"Cabernet Franc","NYUS.2.2 open training dataset"
2005-11-11,-119.74,46.25,-18.3315,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-11-11,-119.74,46.25,-18.887,"Riesling","NYUS.2.2 open training dataset"
2005-11-16,-119.74,46.25,-19.16475,"Chardonnay","NYUS.2.2 open training dataset"
2005-11-16,-119.74,46.25,-16.1095,"Merlot","NYUS.2.2 open training dataset"
2005-11-16,-119.74,46.25,-18.05375,"Syrah","NYUS.2.2 open training dataset"
2005-11-17,-119.74,46.25,-18.975,"Gewurztraminer","NYUS.2.2 open training dataset"
2005-11-17,-119.74,46.25,-19.998,"Pinot gris","NYUS.2.2 open training dataset"
2005-11-17,-119.74,46.25,-17.776,"Sangiovese","NYUS.2.2 open training dataset"
2005-11-18,-119.74,46.25,-18.3315,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-11-18,-119.74,46.25,-19.998,"Riesling","NYUS.2.2 open training dataset"
2005-11-22,-119.74,46.25,-20.83125,"Chardonnay","NYUS.2.2 open training dataset"
2005-11-22,-119.74,46.25,-19.4425,"Merlot","NYUS.2.2 open training dataset"
2005-11-23,-119.74,46.25,-20.5535,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-11-23,-119.74,46.25,-20.83125,"Riesling","NYUS.2.2 open training dataset"
2005-11-24,-119.74,46.25,-19.72025,"Cabernet Franc","NYUS.2.2 open training dataset"
2005-11-24,-119.74,46.25,-18.3315,"Syrah","NYUS.2.2 open training dataset"
2005-11-30,-119.74,46.25,-21.6645,"Chardonnay","NYUS.2.2 open training dataset"
2005-11-30,-119.74,46.25,-20.83125,"Merlot","NYUS.2.2 open training dataset"
2005-11-30,-119.74,46.25,-19.4425,"Syrah","NYUS.2.2 open training dataset"
2005-12-01,-119.74,46.25,-20.35,"Gewurztraminer","NYUS.2.2 open training dataset"
2005-12-01,-119.74,46.25,-22.7755,"Pinot gris","NYUS.2.2 open training dataset"
2005-12-01,-119.74,46.25,-19.4425,"Sangiovese","NYUS.2.2 open training dataset"
2005-12-02,-119.74,46.25,-20.83125,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-12-02,-119.74,46.25,-22.22,"Riesling","NYUS.2.2 open training dataset"
2005-12-07,-119.74,46.25,-23.05325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-12-07,-119.74,46.25,-23.331,"Chardonnay","NYUS.2.2 open training dataset"
2005-12-07,-119.74,46.25,-19.998,"Merlot","NYUS.2.2 open training dataset"
2005-12-07,-119.74,46.25,-24.71975,"Riesling","NYUS.2.2 open training dataset"
2005-12-07,-119.74,46.25,-21.6645,"Syrah","NYUS.2.2 open training dataset"
2005-12-08,-119.74,46.25,-23.8865,"Cabernet Franc","NYUS.2.2 open training dataset"
2005-12-14,-119.74,46.25,-23.8865,"Chardonnay","NYUS.2.2 open training dataset"
2005-12-14,-119.74,46.25,-23.331,"Merlot","NYUS.2.2 open training dataset"
2005-12-14,-119.74,46.25,-22.7755,"Syrah","NYUS.2.2 open training dataset"
2005-12-16,-119.74,46.25,-24.16425,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2005-12-16,-119.74,46.25,-24.9975,"Riesling","NYUS.2.2 open training dataset"
2005-12-17,-119.74,46.25,-23.331,"Pinot gris","NYUS.2.2 open training dataset"
2005-12-17,-119.74,46.25,-21.6645,"Sangiovese","NYUS.2.2 open training dataset"
2005-12-21,-119.74,46.25,-23.8865,"Chardonnay","NYUS.2.2 open training dataset"
2005-12-21,-119.74,46.25,-23.331,"Merlot","NYUS.2.2 open training dataset"
2005-12-28,-119.74,46.25,-23.05325,"Chardonnay","NYUS.2.2 open training dataset"
2005-12-28,-119.74,46.25,-20.83125,"Merlot","NYUS.2.2 open training dataset"
2005-12-28,-119.74,46.25,-20.83125,"Syrah","NYUS.2.2 open training dataset"
2005-12-29,-119.74,46.25,-21.725,"Gewurztraminer","NYUS.2.2 open training dataset"
2005-12-29,-119.74,46.25,-22.7755,"Pinot gris","NYUS.2.2 open training dataset"
2005-12-29,-119.74,46.25,-20.5535,"Sangiovese","NYUS.2.2 open training dataset"
2006-01-04,-119.74,46.25,-21.38675,"Chardonnay","NYUS.2.2 open training dataset"
2006-01-04,-119.74,46.25,-21.94225,"Merlot","NYUS.2.2 open training dataset"
2006-01-04,-119.74,46.25,-20.83125,"Syrah","NYUS.2.2 open training dataset"
2006-01-05,-119.74,46.25,-22.7755,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-01-07,-119.74,46.25,-23.331,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-01-07,-119.74,46.25,-23.331,"Riesling","NYUS.2.2 open training dataset"
2006-01-11,-119.74,46.25,-21.94225,"Chardonnay","NYUS.2.2 open training dataset"
2006-01-11,-119.74,46.25,-21.94225,"Merlot","NYUS.2.2 open training dataset"
2006-01-11,-119.74,46.25,-21.109,"Syrah","NYUS.2.2 open training dataset"
2006-01-13,-119.74,46.25,-21.94225,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-01-13,-119.74,46.25,-23.331,"Riesling","NYUS.2.2 open training dataset"
2006-01-14,-119.74,46.25,-21.175,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-01-14,-119.74,46.25,-22.22,"Pinot gris","NYUS.2.2 open training dataset"
2006-01-14,-119.74,46.25,-20.83125,"Sangiovese","NYUS.2.2 open training dataset"
2006-01-18,-119.74,46.25,-21.109,"Chardonnay","NYUS.2.2 open training dataset"
2006-01-18,-119.74,46.25,-21.109,"Merlot","NYUS.2.2 open training dataset"
2006-01-18,-119.74,46.25,-21.109,"Syrah","NYUS.2.2 open training dataset"
2006-01-20,-119.74,46.25,-21.6645,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-01-21,-119.74,46.25,-22.49775,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-01-21,-119.74,46.25,-23.331,"Riesling","NYUS.2.2 open training dataset"
2006-01-25,-119.74,46.25,-21.109,"Chardonnay","NYUS.2.2 open training dataset"
2006-01-25,-119.74,46.25,-21.109,"Merlot","NYUS.2.2 open training dataset"
2006-01-25,-119.74,46.25,-21.94225,"Syrah","NYUS.2.2 open training dataset"
2006-01-26,-119.74,46.25,-22,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-01-26,-119.74,46.25,-21.38675,"Pinot gris","NYUS.2.2 open training dataset"
2006-01-26,-119.74,46.25,-20.83125,"Sangiovese","NYUS.2.2 open training dataset"
2006-01-27,-119.74,46.25,-22.7755,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-01-27,-119.74,46.25,-24.16425,"Riesling","NYUS.2.2 open training dataset"
2006-02-01,-119.74,46.25,-22.7755,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-02-01,-119.74,46.25,-23.331,"Riesling","NYUS.2.2 open training dataset"
2006-02-02,-119.74,46.25,-22.7755,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-02-02,-119.74,46.25,-20.83125,"Chardonnay","NYUS.2.2 open training dataset"
2006-02-03,-119.74,46.25,-20.83125,"Merlot","NYUS.2.2 open training dataset"
2006-02-03,-119.74,46.25,-21.38675,"Syrah","NYUS.2.2 open training dataset"
2006-02-08,-119.74,46.25,-21.38675,"Chardonnay","NYUS.2.2 open training dataset"
2006-02-08,-119.74,46.25,-18.887,"Merlot","NYUS.2.2 open training dataset"
2006-02-08,-119.74,46.25,-21.38675,"Syrah","NYUS.2.2 open training dataset"
2006-02-10,-119.74,46.25,-23.05325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-02-10,-119.74,46.25,-23.8865,"Riesling","NYUS.2.2 open training dataset"
2006-02-11,-119.74,46.25,-22.825,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-02-11,-119.74,46.25,-21.6645,"Pinot gris","NYUS.2.2 open training dataset"
2006-02-11,-119.74,46.25,-21.109,"Sangiovese","NYUS.2.2 open training dataset"
2006-02-15,-119.74,46.25,-21.109,"Chardonnay","NYUS.2.2 open training dataset"
2006-02-15,-119.74,46.25,-22.22,"Syrah","NYUS.2.2 open training dataset"
2006-02-16,-119.74,46.25,-21.94225,"Merlot","NYUS.2.2 open training dataset"
2006-02-17,-119.74,46.25,-23.8865,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-02-17,-119.74,46.25,-24.71975,"Riesling","NYUS.2.2 open training dataset"
2006-02-22,-119.74,46.25,-21.109,"Chardonnay","NYUS.2.2 open training dataset"
2006-02-22,-119.74,46.25,-21.109,"Merlot","NYUS.2.2 open training dataset"
2006-02-22,-119.74,46.25,-22.7755,"Syrah","NYUS.2.2 open training dataset"
2006-02-23,-119.74,46.25,-23.925,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-02-23,-119.74,46.25,-22.7755,"Pinot gris","NYUS.2.2 open training dataset"
2006-02-23,-119.74,46.25,-21.109,"Sangiovese","NYUS.2.2 open training dataset"
2006-02-24,-119.74,46.25,-22.22,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-02-24,-119.74,46.25,-24.442,"Riesling","NYUS.2.2 open training dataset"
2006-02-28,-119.74,46.25,-20.5535,"Chardonnay","NYUS.2.2 open training dataset"
2006-02-28,-119.74,46.25,-22.22,"Syrah","NYUS.2.2 open training dataset"
2006-03-01,-119.74,46.25,-20.83125,"Merlot","NYUS.2.2 open training dataset"
2006-03-03,-119.74,46.25,-22.49775,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-03-03,-119.74,46.25,-22.7755,"Riesling","NYUS.2.2 open training dataset"
2006-03-09,-119.74,46.25,-20.27575,"Chardonnay","NYUS.2.2 open training dataset"
2006-03-09,-119.74,46.25,-23.05325,"Riesling","NYUS.2.2 open training dataset"
2006-03-09,-119.74,46.25,-20.5535,"Syrah","NYUS.2.2 open training dataset"
2006-03-10,-119.74,46.25,-21.6645,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-03-11,-119.74,46.25,-19.72025,"Merlot","NYUS.2.2 open training dataset"
2006-03-14,-119.74,46.25,-20.075,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-03-14,-119.74,46.25,-18.887,"Sangiovese","NYUS.2.2 open training dataset"
2006-03-15,-119.74,46.25,-17.2205,"Chardonnay","NYUS.2.2 open training dataset"
2006-03-17,-119.74,46.25,-21.38675,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-03-17,-119.74,46.25,-18.887,"Merlot","NYUS.2.2 open training dataset"
2006-03-17,-119.74,46.25,-21.94225,"Riesling","NYUS.2.2 open training dataset"
2006-03-19,-119.74,46.25,-19.4425,"Syrah","NYUS.2.2 open training dataset"
2006-03-22,-119.74,46.25,-14.9985,"Chardonnay","NYUS.2.2 open training dataset"
2006-03-22,-119.74,46.25,-18.887,"Merlot","NYUS.2.2 open training dataset"
2006-03-23,-119.74,46.25,-12.925,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-03-23,-119.74,46.25,-12.49875,"Sangiovese","NYUS.2.2 open training dataset"
2006-03-24,-119.74,46.25,-18.05375,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-03-24,-119.74,46.25,-19.16475,"Riesling","NYUS.2.2 open training dataset"
2006-03-29,-119.74,46.25,-11.6655,"Chardonnay","NYUS.2.2 open training dataset"
2006-03-29,-119.74,46.25,-14.72075,"Merlot","NYUS.2.2 open training dataset"
2006-03-31,-119.74,46.25,-16.665,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-03-31,-119.74,46.25,-16.1095,"Riesling","NYUS.2.2 open training dataset"
2006-09-22,-119.74,46.25,-9.4435,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-09-22,-119.74,46.25,-11.11,"Riesling","NYUS.2.2 open training dataset"
2006-09-29,-119.74,46.25,-11.38775,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-09-29,-119.74,46.25,-10.27675,"Riesling","NYUS.2.2 open training dataset"
2006-10-03,-119.74,46.25,-11.94325,"Chardonnay","NYUS.2.2 open training dataset"
2006-10-03,-119.74,46.25,-11.38775,"Merlot","NYUS.2.2 open training dataset"
2006-10-06,-119.74,46.25,-8.3325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-10-06,-119.74,46.25,-11.11,"Riesling","NYUS.2.2 open training dataset"
2006-10-11,-119.74,46.25,-11.38775,"Chenin blanc","NYUS.2.2 open training dataset"
2006-10-11,-119.74,46.25,-11.11,"Sauvignon blanc","NYUS.2.2 open training dataset"
2006-10-13,-119.74,46.25,-12.221,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-10-13,-119.74,46.25,-11.94325,"Riesling","NYUS.2.2 open training dataset"
2006-10-14,-119.74,46.25,-11.6655,"Chenin blanc","NYUS.2.2 open training dataset"
2006-10-17,-119.74,46.25,-10.83225,"Merlot","NYUS.2.2 open training dataset"
2006-10-17,-119.74,46.25,-12.221,"Riesling","NYUS.2.2 open training dataset"
2006-10-20,-119.74,46.25,-11.94325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-10-20,-119.74,46.25,-12.49875,"Chardonnay","NYUS.2.2 open training dataset"
2006-10-24,-119.74,46.25,-12.49875,"Sauvignon blanc","NYUS.2.2 open training dataset"
2006-10-25,-119.74,46.25,-12.7765,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-10-26,-119.74,46.25,-12.49875,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-10-26,-119.74,46.25,-12.7765,"Chardonnay","NYUS.2.2 open training dataset"
2006-10-31,-119.74,46.25,-13.05425,"Merlot","NYUS.2.2 open training dataset"
2006-10-31,-119.74,46.25,-16.38725,"Riesling","NYUS.2.2 open training dataset"
2006-11-01,-119.74,46.25,-17.49825,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-11-01,-119.74,46.25,-17.776,"Pinot gris","NYUS.2.2 open training dataset"
2006-11-01,-119.74,46.25,-14.72075,"Syrah","NYUS.2.2 open training dataset"
2006-11-02,-119.74,46.25,-18.3315,"Lemberger","NYUS.2.2 open training dataset"
2006-11-02,-119.74,46.25,-15.554,"Sangiovese","NYUS.2.2 open training dataset"
2006-11-03,-119.74,46.25,-16.665,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-11-03,-119.74,46.25,-17.776,"Chardonnay","NYUS.2.2 open training dataset"
2006-11-08,-119.74,46.25,-16.1095,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-11-11,-119.74,46.25,-17.776,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-11-11,-119.74,46.25,-18.05375,"Chardonnay","NYUS.2.2 open training dataset"
2006-11-14,-119.74,46.25,-18.887,"Merlot","NYUS.2.2 open training dataset"
2006-11-14,-119.74,46.25,-20.27575,"Riesling","NYUS.2.2 open training dataset"
2006-11-15,-119.74,46.25,-21.94225,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-11-15,-119.74,46.25,-21.109,"Pinot gris","NYUS.2.2 open training dataset"
2006-11-15,-119.74,46.25,-17.49825,"Syrah","NYUS.2.2 open training dataset"
2006-11-16,-119.74,46.25,-19.72025,"Lemberger","NYUS.2.2 open training dataset"
2006-11-16,-119.74,46.25,-16.94275,"Sangiovese","NYUS.2.2 open training dataset"
2006-11-17,-119.74,46.25,-19.998,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-11-17,-119.74,46.25,-20.5535,"Chardonnay","NYUS.2.2 open training dataset"
2006-11-21,-119.74,46.25,-18.05375,"Chenin blanc","NYUS.2.2 open training dataset"
2006-11-21,-119.74,46.25,-19.4425,"Sauvignon blanc","NYUS.2.2 open training dataset"
2006-11-22,-119.74,46.25,-20.27575,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-11-28,-119.74,46.25,-21.38675,"Merlot","NYUS.2.2 open training dataset"
2006-11-28,-119.74,46.25,-23.60875,"Riesling","NYUS.2.2 open training dataset"
2006-11-29,-119.74,46.25,-23.60875,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-11-29,-119.74,46.25,-24.9975,"Pinot gris","NYUS.2.2 open training dataset"
2006-11-29,-119.74,46.25,-21.94225,"Syrah","NYUS.2.2 open training dataset"
2006-12-01,-119.74,46.25,-24.9975,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-12-01,-119.74,46.25,-25.27525,"Chardonnay","NYUS.2.2 open training dataset"
2006-12-05,-119.74,46.25,-23.05325,"Merlot","NYUS.2.2 open training dataset"
2006-12-05,-119.74,46.25,-24.16425,"Riesling","NYUS.2.2 open training dataset"
2006-12-06,-119.74,46.25,-25.553,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-12-07,-119.74,46.25,-24.9975,"Lemberger","NYUS.2.2 open training dataset"
2006-12-07,-119.74,46.25,-21.6645,"Sangiovese","NYUS.2.2 open training dataset"
2006-12-12,-119.74,46.25,-18.3315,"Chenin blanc","NYUS.2.2 open training dataset"
2006-12-12,-119.74,46.25,-20.83125,"Sauvignon blanc","NYUS.2.2 open training dataset"
2006-12-13,-119.74,46.25,-23.331,"Gewurztraminer","NYUS.2.2 open training dataset"
2006-12-13,-119.74,46.25,-24.442,"Pinot gris","NYUS.2.2 open training dataset"
2006-12-13,-119.74,46.25,-20.83125,"Syrah","NYUS.2.2 open training dataset"
2006-12-15,-119.74,46.25,-21.6645,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-12-15,-119.74,46.25,-22.7755,"Chardonnay","NYUS.2.2 open training dataset"
2006-12-19,-119.74,46.25,-23.331,"Merlot","NYUS.2.2 open training dataset"
2006-12-19,-119.74,46.25,-23.60875,"Riesling","NYUS.2.2 open training dataset"
2006-12-20,-119.74,46.25,-24.16425,"Cabernet Franc","NYUS.2.2 open training dataset"
2006-12-22,-119.74,46.25,-23.60875,"Lemberger","NYUS.2.2 open training dataset"
2006-12-22,-119.74,46.25,-21.38675,"Sangiovese","NYUS.2.2 open training dataset"
2006-12-29,-119.74,46.25,-23.8865,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2006-12-29,-119.74,46.25,-25.27525,"Chardonnay","NYUS.2.2 open training dataset"
2007-01-03,-119.74,46.25,-21.94225,"Chenin blanc","NYUS.2.2 open training dataset"
2007-01-03,-119.74,46.25,-21.6645,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-01-04,-119.74,46.25,-23.331,"Gewurztraminer","NYUS.2.2 open training dataset"
2007-01-04,-119.74,46.25,-24.442,"Pinot gris","NYUS.2.2 open training dataset"
2007-01-04,-119.74,46.25,-21.6645,"Syrah","NYUS.2.2 open training dataset"
2007-01-06,-119.74,46.25,-22.49775,"Lemberger","NYUS.2.2 open training dataset"
2007-01-06,-119.74,46.25,-21.38675,"Sangiovese","NYUS.2.2 open training dataset"
2007-01-09,-119.74,46.25,-22.22,"Merlot","NYUS.2.2 open training dataset"
2007-01-09,-119.74,46.25,-24.9975,"Riesling","NYUS.2.2 open training dataset"
2007-01-10,-119.74,46.25,-23.331,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-01-12,-119.74,46.25,-23.331,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-01-12,-119.74,46.25,-24.442,"Chardonnay","NYUS.2.2 open training dataset"
2007-01-17,-119.74,46.25,-24.442,"Chenin blanc","NYUS.2.2 open training dataset"
2007-01-17,-119.74,46.25,-23.331,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-01-18,-119.74,46.25,-22.7755,"Sangiovese","NYUS.2.2 open training dataset"
2007-01-19,-119.74,46.25,-24.9975,"Gewurztraminer","NYUS.2.2 open training dataset"
2007-01-19,-119.74,46.25,-23.331,"Pinot gris","NYUS.2.2 open training dataset"
2007-01-19,-119.74,46.25,-23.8865,"Syrah","NYUS.2.2 open training dataset"
2007-01-23,-119.74,46.25,-24.16425,"Merlot","NYUS.2.2 open training dataset"
2007-01-23,-119.74,46.25,-25.83075,"Riesling","NYUS.2.2 open training dataset"
2007-01-25,-119.74,46.25,-23.8865,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-01-26,-119.74,46.25,-25.553,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-01-26,-119.74,46.25,-25.553,"Chardonnay","NYUS.2.2 open training dataset"
2007-01-30,-119.74,46.25,-20.83125,"Chenin blanc","NYUS.2.2 open training dataset"
2007-01-30,-119.74,46.25,-23.8865,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-01-31,-119.74,46.25,-26.38625,"Gewurztraminer","NYUS.2.2 open training dataset"
2007-01-31,-119.74,46.25,-24.9975,"Pinot gris","NYUS.2.2 open training dataset"
2007-01-31,-119.74,46.25,-24.442,"Syrah","NYUS.2.2 open training dataset"
2007-02-01,-119.74,46.25,-22.49775,"Sangiovese","NYUS.2.2 open training dataset"
2007-02-02,-119.74,46.25,-24.442,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-02-02,-119.74,46.25,-23.331,"Pinot gris","NYUS.2.2 open training dataset"
2007-02-03,-119.74,46.25,-24.442,"Chardonnay","NYUS.2.2 open training dataset"
2007-02-06,-119.74,46.25,-23.05325,"Merlot","NYUS.2.2 open training dataset"
2007-02-06,-119.74,46.25,-25.83075,"Riesling","NYUS.2.2 open training dataset"
2007-02-07,-119.74,46.25,-23.331,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-02-08,-119.74,46.25,-22.22,"Sangiovese","NYUS.2.2 open training dataset"
2007-02-09,-119.74,46.25,-23.8865,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-02-09,-119.74,46.25,-24.442,"Chardonnay","NYUS.2.2 open training dataset"
2007-02-13,-119.74,46.25,-20.27575,"Chenin blanc","NYUS.2.2 open training dataset"
2007-02-13,-119.74,46.25,-21.94225,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-02-14,-119.74,46.25,-23.05325,"Gewurztraminer","NYUS.2.2 open training dataset"
2007-02-14,-119.74,46.25,-20.83125,"Syrah","NYUS.2.2 open training dataset"
2007-02-23,-119.74,46.25,-21.109,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-02-23,-119.74,46.25,-20.5535,"Chardonnay","NYUS.2.2 open training dataset"
2007-02-24,-119.74,46.25,-21.6645,"Merlot","NYUS.2.2 open training dataset"
2007-02-24,-119.74,46.25,-24.9975,"Riesling","NYUS.2.2 open training dataset"
2007-02-27,-119.74,46.25,-22.49775,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-02-28,-119.74,46.25,-20.27575,"Sangiovese","NYUS.2.2 open training dataset"
2007-03-01,-119.74,46.25,-23.05325,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-03-01,-119.74,46.25,-21.38675,"Chardonnay","NYUS.2.2 open training dataset"
2007-03-01,-119.74,46.25,-20.27575,"Chenin blanc","NYUS.2.2 open training dataset"
2007-03-01,-119.74,46.25,-20.5535,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-03-03,-119.74,46.25,-21.38675,"Pinot gris","NYUS.2.2 open training dataset"
2007-03-03,-119.74,46.25,-19.998,"Syrah","NYUS.2.2 open training dataset"
2007-03-06,-119.74,46.25,-21.109,"Merlot","NYUS.2.2 open training dataset"
2007-03-07,-119.74,46.25,-21.38675,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-03-08,-119.74,46.25,-19.72025,"Sangiovese","NYUS.2.2 open training dataset"
2007-03-09,-119.74,46.25,-22.7755,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-03-09,-119.74,46.25,-21.109,"Chardonnay","NYUS.2.2 open training dataset"
2007-03-14,-119.74,46.25,-20.27575,"Gewurztraminer","NYUS.2.2 open training dataset"
2007-03-14,-119.74,46.25,-19.998,"Merlot","NYUS.2.2 open training dataset"
2007-03-14,-119.74,46.25,-21.6645,"Riesling","NYUS.2.2 open training dataset"
2007-03-14,-119.74,46.25,-19.72025,"Syrah","NYUS.2.2 open training dataset"
2007-03-15,-119.74,46.25,-19.4425,"Sauvignon blanc","NYUS.2.2 open training dataset"
2007-03-16,-119.74,46.25,-22.22,"Cabernet Sauvignon","NYUS.2.2 open training dataset"
2007-03-16,-119.74,46.25,-18.887,"Chardonnay","NYUS.2.2 open training dataset"
2007-03-20,-119.74,46.25,-18.05375,"Merlot","NYUS.2.2 open training dataset"
2007-03-20,-119.74,46.25,-18.05375,"Riesling","NYUS.2.2 open training dataset"
2007-03-21,-119.74,46.25,-17.2205,"Cabernet Franc","NYUS.2.2 open training dataset"
2007-03-23,-119.74,46.25,-17.2205,"Sangiovese","NYUS.2.2 open training dataset"
